TIPO DIA,AÑO,MES,DIA,HORA,DEMANDA,Total Residencial,Total No Residencial,total_usuarios,ALLSKY_SFC_SW_DWN_pond,ALLSKY_KT_pond,T2M_pond,RH2M_pond,PRECTOTCORR_pond,CLRSKY_SFC_SW_DWN_pond,T2MWET_pond,Tasa de cambio representativa del mercado (TRM),IPP,IPC,FECHA
JUEVES,2023,1,19,0,872.3944,2491463.0,276587.0,2768050.0,0.0,-999.0,15.463878885858277,98.16695260923755,0.1970053250483192,0.0,15.31227148353534,4702.67,178.76,128.27,2023-01-19 00:00:00
VIERNES,2023,1,20,0,901.13921,2491463.0,276587.0,2768050.0,0.0,-999.0,15.633804450786654,95.10073707483608,0.0452580264084825,0.0,15.231696306063837,4683.85,178.76,128.27,2023-01-20 00:00:00
SABADO,2023,1,21,0,916.6507,2491463.0,276587.0,2768050.0,0.0,-999.0,15.310162594606313,98.91858319033254,0.0657257347229999,0.0,15.222132219432453,4631.64,178.76,128.27,2023-01-21 00:00:00
DOMINGO,2023,1,22,0,866.31993,2491463.0,276587.0,2768050.0,0.0,-999.0,15.503718411878396,96.9314390130236,0.0448025722078719,0.0,15.258732158017375,4631.64,178.76,128.27,2023-01-22 00:00:00
LUNES,2023,1,23,0,841.38746,2491463.0,276587.0,2768050.0,0.0,-999.0,15.763606094543093,95.2995695164466,0.0493749715503693,0.0,15.387961608352452,4631.64,178.76,128.27,2023-01-23 00:00:00
MARTES,2023,1,24,0,903.17915,2491463.0,276587.0,2768050.0,0.0,-999.0,15.878852000505772,98.61130100612344,0.0,0.0,15.765636357724752,4551.02,178.76,128.27,2023-01-24 00:00:00
MIERCOLES,2023,1,25,0,919.58345,2491463.0,276587.0,2768050.0,0.0,-999.0,16.34316504759668,95.93320600061416,0.0374652336482361,0.0,16.000255197702355,4545.94,178.76,128.27,2023-01-25 00:00:00
JUEVES,2023,1,26,0,933.24491,2491463.0,276587.0,2768050.0,0.0,-999.0,16.239021831253048,98.53790599880782,0.0095174725890067,0.0,16.120235786925814,4538.91,178.76,128.27,2023-01-26 00:00:00
VIERNES,2023,1,27,0,919.35042,2491463.0,276587.0,2768050.0,0.0,-999.0,15.571978779285056,99.02921465652716,0.0691438774588609,0.0,15.540336308953956,4531.75,178.76,128.27,2023-01-27 00:00:00
SABADO,2023,1,28,0,935.03274,2491463.0,276587.0,2768050.0,0.0,-999.0,14.91038003648778,98.55725460161486,0.001112837557125,0.0,14.925248001300554,4548.5,178.76,128.27,2023-01-28 00:00:00
DOMINGO,2023,1,29,0,886.23038,2491463.0,276587.0,2768050.0,0.0,-999.0,14.08527301529958,99.08608326439187,0.0,0.0,14.30771347338379,4548.5,178.76,128.27,2023-01-29 00:00:00
LUNES,2023,1,30,0,880.96315,2491463.0,276587.0,2768050.0,0.0,-999.0,15.701974314047796,94.7187085854663,0.2129048283087372,0.0,15.272308834739256,4548.5,178.76,128.27,2023-01-30 00:00:00
MARTES,2023,1,31,0,932.91587,2491463.0,276587.0,2768050.0,0.0,-999.0,14.76473271075306,99.04107193872944,0.1797093405104676,0.0,14.716951258105889,4632.2,178.76,128.27,2023-01-31 00:00:00
MIERCOLES,2023,2,1,0,919.89644,2498546.0,277051.0,2775597.0,0.0,-999.0,13.365398089131814,99.10016561482088,0.0,0.0,13.755537464552672,4648.7,181.43,130.4,2023-02-01 00:00:00
