TIPO DIA,AÑO,MES,DIA,HORA,Total Residencial,Total No Residencial,total_usuarios,ALLSKY_SFC_SW_DWN_pond,ALLSKY_KT_pond,T2M_pond,RH2M_pond,PRECTOTCORR_pond,CLRSKY_SFC_SW_DWN_pond,T2MWET_pond,Tasa de cambio representativa del mercado (TRM),IPP,IPC,FECHA,DEMANDA
1--ENE,2021,1,1,7,2343177.0,266260.0,2609437.0,169.2952667299498,0.4262137388256547,16.312949755062107,96.40743792243308,0.2454858385161243,228.70735826540363,16.020351608412085,3432.5,126.22,105.91,2021-01-01 07:00:00,625.5493
JUEVES,2022,7,7,10,2454015.0,274089.0,2728104.0,719.4996642686642,0.6199636414154299,20.49018230609977,78.6864676676549,0.1743105028254054,884.9767671027204,18.58125833545936,4348.68,171.4,120.27,2022-07-07 10:00:00,1346.41623
1--MAY,2022,5,1,21,2442838.0,273275.0,2716113.0,0.0,-999.0,17.808184861970027,98.7132370155439,0.5022305957079105,0.0,17.697810831139943,3966.27,166.84,118.7,2022-05-01 21:00:00,1073.39118
DOMINGO,2021,10,3,6,2396530.0,270262.0,2666792.0,81.27052432285683,0.3701316000647969,17.025618098449375,96.68997237129854,0.0095799672415396,103.18616579020788,16.761887635031155,3781.35,142.56,110.06,2021-10-03 06:00:00,772.91394
DOMINGO,2022,7,17,14,2454015.0,274089.0,2728104.0,653.8562220758446,0.6251557601909605,22.57823489866956,70.3608329667784,0.1397485799661596,777.4854056480251,19.744240919701006,4395.63,171.4,120.27,2022-07-17 14:00:00,1055.91824
DOMINGO,2021,12,12,1,2410661.0,271264.0,2681925.0,0.0,-999.0,16.07675817183553,96.04855032113127,0.1646243649617345,0.0,15.764188737567231,3887.71,147.65,111.41,2021-12-12 01:00:00,834.91994
SABADO,2023,1,21,23,2491463.0,276587.0,2768050.0,0.0,-999.0,15.776278398150325,96.82682428785608,0.0794526616209967,0.0,15.534098632611403,4631.64,178.76,128.27,2023-01-21 23:00:00,936.5676
LUNES,2018,12,3,11,2190850.0,207551.0,2398401.0,726.8210951421385,0.5964775490003549,20.92195451469542,71.22537542304228,0.0041142160964742,944.677907143134,18.21200262174674,3235.27,116.91,100.0,2018-12-03 11:00:00,1326.08
SABADO,2018,3,24,2,2143815.0,204343.0,2348158.0,0.0,-999.0,16.50735365337426,98.82231151396115,0.700482876365219,0.0,16.413273357244275,2849.01,113.68,98.45,2018-03-24 02:00:00,757.38
JUEVES,2018,1,25,4,2131430.0,203894.0,2335324.0,0.0,-999.0,14.533153489622851,96.53713558375624,0.01296311346948,0.0,14.244304263562572,2820.53,113.31,97.52,2018-01-25 04:00:00,888.3
SABADO,2019,7,27,23,2237105.0,211689.0,2448794.0,0.0,-999.0,16.65432635003189,94.46465886064732,0.0537879707317152,0.0,16.188310213108984,3233.26,120.73,102.94,2019-07-27 23:00:00,892.61
